NR. DOC,CREDITO,DEBITO,DIFERENCA
LU-136927074874,"81,72","440,80","-359,08"
LU-136937074880,"479,26","491,98","-12,72"
LU-136937074881,"345,94","355,11","-9,17"
LU-136947074888,"123,17","126,33","-3,16"
LU-136947074889,"674,58","692,44","-17,86"
LU-136947074890,"428,60","524,80","-96,20"
LU-136947074896,"583,80","599,45","-15,65"
LU-136957074904,"666,42","690,25","-23,83"
LU-136957074907,"125,66","129,00","-3,34"
LU-136957074908,"656,24","674,10","-17,86"
LU-136967074909,"54,41","55,89","-1,48"
LU-136967074910,"110,22","113,24","-3,02"
LU-136977074914,"91,84","94,35","-2,51"
LU-136977074918,"1089,27","1114,04","-24,77"
LU-136977074922,"693,83","712,48","-18,65"
LU-136987074924,"332,06","341,10","-9,04"
LU-136987074927,"993,46","1020,71","-27,25"
LU-136997074935,"616,28","632,79","-16,51"
LU-137007074943,"879,48","936,98","-57,50"
LU-137027074955,"104,71","107,58","-2,87"
LU-137037074957,"1315,62","1350,60","-34,98"
LU-137037074961,"1489,68","1447,59","42,09"
LU-137057074966,"140,72","144,33","-3,61"
LU-137067074978,"729,53","749,00","-19,47"
LU-137087074981,"116,74","120,05","-3,31"
LU-137087074988,"395,24","405,75","-10,51"
LU-137087074991,"340,80","349,90","-9,10"
LU-137107075000,"263,03","269,91","-6,88"
LU-137107075001,"226,39","228,89","-2,50"
LU-137127075013,"394,51","404,61","-10,10"
LU-137147075025,"856,27","879,67","-23,40"
LU-137147075026,"74,39","76,40","-2,01"
LU-137147075027,"388,66","399,00","-10,34"
LU-137147075028,"1035,84","1063,93","-28,09"
LU-137147075029,"222,12","227,91","-5,79"
LU-137167075041,"551,37","565,51","-14,14"
LU-137167075043,"235,85","242,17","-6,32"
LU-137177075045,"1394,04","1429,78","-35,74"
LU-137207021247,"2339,90","2399,90","-60,00"
LU-137227021256,"682,40","699,90","-17,50"
LU-137247021264,"158,96","163,29","-4,33"
LU-137247021266,"432,49","443,76","-11,27"
LU-137247021268,"776,18","796,41","-20,23"
LU-137307021299,"82,65","84,91","-2,26"
LU-137307021302,"209,47","215,20","-5,73"
LU-137367021343,"405,05","463,23","-58,18"
LU-137367021346,"377,04","386,70","-9,66"
LU-137387021349,"97,89","99,89","-2,00"
LU-137397021358,"689,39","707,07","-17,68"
LU-137397021362,"129,78","133,30","-3,52"
LU-137417021366,"1329,49","1363,58","-34,09"
LU-137447021385,"186,91","191,70","-4,79"
LU-137467021396,"445,93","457,55","-11,62"
LU-137517021424,"61,31","62,91","-1,60"
LU-137517021428,"106,23","109,00","-2,77"
