NR. DOC;CREDITO;DEBITO;DIFERENCA_TX-COMISSAO;LIQ_MARKETPLACE;BX_MARKETPLACE;DIFERENCA_BX-MANUAL
LU-136357074508;182,51;187,39;-4,88;0,00;0,00;0,00
LU-136367074516;388,09;398,20;-10,11;0,00;0,00;0,00
LU-136377074521;0,00;0,00;-1,77;18,68;20,45;-1,77
LU-136397074536;380,05;403,34;-17,37;35,08;29,16;5,92
LU-136417074547;88,08;90,34;-2,26;0,00;0,00;0,00
LU-136417074548;398,78;409,30;-10,52;0,00;0,00;0,00
LU-136427074551;402,19;412,50;-10,31;0,00;0,00;0,00
LU-136427074553;975,48;1113,07;-137,59;0,00;0,00;0,00
LU-136447074563;450,75;462,29;-11,54;0,00;0,00;0,00
LU-136457074567;756,17;775,56;-19,39;0,00;0,00;0,00
LU-136467074571;1826,20;1873,03;-46,83;0,00;0,00;0,00
LU-136467074575;0,00;0,00;-39,05;82,29;121,34;-39,05
LU-136477074577;0,00;0,00;-1,37;16,97;18,34;-1,37
LU-136487074583;283,85;291,13;-7,28;0,00;0,00;0,00
LU-136487074584;66,57;68,32;-1,75;0,00;0,00;0,00
LU-136497074588;428,90;439,90;-11,00;0,00;0,00;0,00
LU-136507074591;0,00;0,00;5,22;13,43;8,21;5,22
LU-136507074592;19,39;0,00;-8,94;27,51;55,84;-28,33
LU-136517074595;0,00;0,00;-3,44;15,86;19,30;-3,44
LU-136517074597;424,37;435,26;-10,89;0,00;0,00;0,00
LU-136517074598;0,00;0,00;-6,92;38,77;45,69;-6,92
LU-136517074599;0,00;0,00;-3,46;19,39;22,85;-3,46
LU-136517074600;77,43;79,42;-1,99;0,00;0,00;0,00
LU-136517074601;0,00;0,00;-6,92;38,77;45,69;-6,92
LU-136517074602;1485,67;1524,83;-39,16;0,00;0,00;0,00
LU-136527074603;645,72;662,28;-24,78;41,27;49,49;-8,22
LU-136547074616;430,54;546,01;-104,75;36,22;25,50;10,72
LU-136547074618;39,20;40,22;-1,02;0,00;0,00;0,00
LU-136567074622;896,14;919,50;-23,36;0,00;0,00;0,00
LU-136567074625;0,00;0,00;-2,76;35,55;38,31;-2,76
LU-136567074626;0,00;0,00;0,00;5,70;5,70;0,00
LU-136577074631;0,00;0,00;-1,65;16,50;18,15;-1,65
LU-136597074639;846,35;868,41;-22,06;0,00;0,00;0,00
LU-136597074641;0,00;0,00;-1,65;21,93;23,58;-1,65
LU-136597074644;117,99;121,11;-3,12;0,00;0,00;0,00
LU-136597074646;0,00;0,00;-0,92;8,64;9,56;-0,92
LU-136617074653;509,94;409,00;100,94;0,00;0,00;0,00
LU-136617074654;0,00;0,00;-1,21;17,48;18,69;-1,21
LU-136617074655;0,00;0,00;-3,19;63,50;66,69;-3,19
LU-136627074656;0,00;0,00;-8,19;78,45;86,64;-8,19
LU-136627074659;725,90;762,46;-36,56;0,00;0,00;0,00
LU-136627074660;0,00;0,00;-7,01;43,28;50,29;-7,01
LU-136627074663;0,00;0,00;-8,33;109,23;117,56;-8,33
LU-136647074667;523,44;537,03;-13,59;0,00;0,00;0,00
LU-136647074670;4339,01;4881,96;-542,95;0,00;0,00;0,00
LU-136657074676;369,75;379,23;-9,48;0,00;0,00;0,00
LU-136667074678;24,33;24,96;-0,63;0,00;0,00;0,00
LU-136687074687;0,00;0,00;-2,76;33,77;36,53;-2,76
LU-136707074694;1061,48;1111,34;-49,86;0,00;0,00;0,00
LU-136707074696;0,00;0,00;-8,25;90,85;99,10;-8,25
LU-136707074702;779,02;799,00;-19,98;0,00;0,00;0,00
LU-136717074709;0,00;0,00;-8,33;109,23;117,56;-8,33
LU-136737074718;1350,28;1384,90;-42,87;90,85;99,10;-8,25
LU-136757074728;779,02;799,00;-19,98;0,00;0,00;0,00
LU-136767074737;234,28;269,61;-35,33;0,00;0,00;0,00
LU-136767074743;144,49;148,19;-3,70;0,00;0,00;0,00
LU-136787074755;690,70;709,43;-18,73;0,00;0,00;0,00
LU-136787074756;1684,34;1742,65;-52,25;103,06;97,00;6,06
LU-136797074763;0,00;0,00;-8,17;88,83;97,00;-8,17
LU-136807074769;116,35;119,46;-3,11;0,00;0,00;0,00
LU-136807074770;0,00;0,00;-8,00;63,30;71,30;-8,00
LU-136807074772;578,61;663,69;-85,08;0,00;0,00;0,00
LU-136807074773;0,00;0,00;-8,00;63,30;71,30;-8,00
LU-136817074777;377,09;386,91;-9,82;0,00;0,00;0,00
LU-136817074779;0,00;0,00;-8,17;88,83;97,00;-8,17
LU-136817074783;1056,70;1084,81;-28,11;0,00;0,00;0,00
LU-136817074786;1265,62;1471,94;-206,32;0,00;0,00;0,00
LU-136827074791;51,93;53,33;-1,40;0,00;0,00;0,00
LU-136837074797;2187,53;2246,38;-58,85;0,00;0,00;0,00
LU-136837074802;574,16;588,88;-14,72;0,00;0,00;0,00
LU-136847074805;586,29;602,00;-15,71;0,00;0,00;0,00
LU-136847074808;0,00;0,00;-8,00;63,30;71,30;-8,00
LU-136847074809;314,22;322,87;-8,65;0,00;0,00;0,00
LU-136847074810;1031,58;1079,64;-48,06;0,00;0,00;0,00
LU-136847074814;0,00;0,00;-8,00;63,30;71,30;-8,00
LU-136857074815;365,92;375,77;-9,85;0,00;0,00;0,00
LU-136867074820;1362,62;1399,00;-36,38;0,00;0,00;0,00
LU-136877074825;388,66;399,00;-10,34;0,00;0,00;0,00
LU-136877074826;857,90;880,71;-22,81;0,00;0,00;0,00
LU-136887074837;437,29;449,00;-11,71;0,00;0,00;0,00
LU-136897074839;388,49;420,30;-31,81;0,00;0,00;0,00
LU-136897074848;160,72;164,90;-4,18;0,00;0,00;0,00
LU-136897074849;953,76;1019,23;-65,47;0,00;0,00;0,00
LU-136897074851;703,97;722,89;-18,92;0,00;0,00;0,00
LU-136907074852;1412,73;1450,88;-38,15;0,00;0,00;0,00
LU-136907074853;1792,01;1837,96;-45,95;0,00;0,00;0,00
LU-136907074856;371,46;381,46;-10,00;0,00;0,00;0,00
LU-136907074858;1385,77;1423,10;-37,33;0,00;0,00;0,00
LU-136907074859;306,08;314,11;-8,03;0,00;0,00;0,00
LU-136917074859;97,36;99,90;-2,54;0,00;0,00;0,00
LU-136917074862;793,00;1449,46;-656,46;0,00;0,00;0,00
LU-136917074863;1050,50;1079,10;-28,60;0,00;0,00;0,00
LU-136917074864;253,28;260,16;-13,80;38,77;45,69;-6,92
LU-136917074866;121,30;0,00;-44,47;38,77;204,54;-165,77
LU-136927074868;316,64;449,90;-133,26;0,00;0,00;0,00
LU-136927074869;97,22;149,70;-68,94;82,53;98,99;-16,46
LU-136927074870;1845,01;956,90;888,11;0,00;0,00;0,00
LU-136927074872;233,24;749,00;-685,99;38,77;209,00;-170,23
LU-136927074873;77,54;0,00;-9,09;38,77;125,40;-86,63
LU-136927074874;42,95;399,00;-359,08;38,77;41,80;-3,03
LU-136937074880;479,26;491,98;-12,72;0,00;0,00;0,00
LU-136937074881;345,94;355,11;-9,17;0,00;0,00;0,00
LU-136937074884;38,77;0,00;-6,06;38,77;83,60;-44,83
LU-136947074884;0,00;0,00;-3,03;38,77;41,80;-3,03
LU-136947074885;0,00;0,00;-8,21;82,85;91,06;-8,21
LU-136947074888;123,17;126,33;-3,16;0,00;0,00;0,00
LU-136947074889;674,58;692,44;-17,86;0,00;0,00;0,00
LU-136947074890;428,60;524,80;-96,20;0,00;0,00;0,00
LU-136947074895;0,00;0,00;-8,18;82,62;90,80;-8,18
LU-136947074896;583,80;599,45;-15,65;0,00;0,00;0,00
LU-136957074904;592,19;599,45;-23,83;74,23;90,80;-16,57
LU-136957074905;40,23;0,00;-11,21;82,62;134,06;-51,44
LU-136957074907;125,66;129,00;-3,34;0,00;0,00;0,00
LU-136957074908;656,24;674,10;-17,86;0,00;0,00;0,00
LU-136967074909;54,41;55,89;-1,48;0,00;0,00;0,00
LU-136967074910;110,22;113,24;-3,02;0,00;0,00;0,00
LU-136977074911;0,00;0,00;-8,18;82,62;90,80;-8,18
LU-136977074914;91,84;94,35;-2,51;0,00;0,00;0,00
LU-136977074918;1089,27;1114,04;-24,77;0,00;0,00;0,00
LU-136977074922;693,83;712,48;-18,65;0,00;0,00;0,00
LU-136987074924;332,06;341,10;-9,04;0,00;0,00;0,00
LU-136987074927;993,46;1020,71;-27,25;0,00;0,00;0,00
LU-136997074935;616,28;632,79;-16,51;0,00;0,00;0,00
LU-137007074943;357,03;366,74;-57,50;522,45;570,24;-47,79
LU-137027074953;0,00;0,00;-7,18;53,23;60,41;-7,18
LU-137027074955;104,71;107,58;-2,87;0,00;0,00;0,00
LU-137037074957;1315,62;1350,60;-34,98;0,00;0,00;0,00
LU-137037074961;1489,68;1447,59;42,09;0,00;0,00;0,00
LU-137057074966;140,72;144,33;-3,61;0,00;0,00;0,00
LU-137067074971;0,00;0,00;-43,50;601,68;645,18;-43,50
LU-137067074978;729,53;749,00;-19,47;0,00;0,00;0,00
LU-137087074980;0,00;113,24;-203,64;220,67;311,07;-90,40
LU-137087074981;116,74;120,05;-3,31;0,00;0,00;0,00
LU-137087074988;395,24;405,75;-10,51;0,00;0,00;0,00
LU-137087074991;340,80;349,90;-9,10;0,00;0,00;0,00
LU-137107074998;0,00;0,00;-3,12;48,80;51,92;-3,12
LU-137107075000;263,03;269,91;-6,88;0,00;0,00;0,00
LU-137107075001;97,39;228,89;-131,50;0,00;0,00;0,00
LU-137127075013;394,51;404,61;-10,10;0,00;0,00;0,00
LU-137137075023;0,00;0,00;-13,42;90,85;104,27;-13,42
LU-137147075025;856,27;879,67;-23,40;0,00;0,00;0,00
LU-137147075026;74,39;76,40;-2,01;0,00;0,00;0,00
LU-137147075027;388,66;399,00;-10,34;0,00;0,00;0,00
LU-137147075028;1035,84;1063,93;-28,09;0,00;0,00;0,00
LU-137147075029;222,12;227,91;-5,79;0,00;0,00;0,00
LU-137147075030;0,00;0,00;-8,25;90,85;99,10;-8,25
LU-137167075036;0,00;0,00;-8,33;109,23;117,56;-8,33
LU-137167075037;0,00;0,00;-9,04;100,44;109,48;-9,04
LU-137167075041;551,37;565,51;-14,14;0,00;0,00;0,00
LU-137167075043;235,85;242,17;-6,32;0,00;0,00;0,00
LU-137177075045;1394,04;1429,78;-35,74;0,00;0,00;0,00
LU-137207021247;2339,90;2399,90;-60,00;0,00;0,00;0,00
LU-137227021256;682,40;699,90;-17,50;0,00;0,00;0,00
LU-137247021264;158,96;163,29;-4,33;0,00;0,00;0,00
LU-137247021266;432,49;443,76;-11,27;0,00;0,00;0,00
LU-137247021268;776,18;796,41;-20,23;0,00;0,00;0,00
LU-137257021272;0,00;0,00;-8,16;74,06;82,22;-8,16
LU-137307021299;82,65;84,91;-2,26;0,00;0,00;0,00
LU-137307021302;209,47;215,20;-5,73;0,00;0,00;0,00
LU-137337021324;0,00;0,00;-2,98;37,49;40,47;-2,98
LU-137357021337;0,00;0,00;-2,98;37,49;40,47;-2,98
LU-137367021338;0,00;0,00;-2,98;37,49;40,47;-2,98
LU-137367021342;0,00;0,00;-2,98;37,49;40,47;-2,98
LU-137367021343;405,05;463,23;-58,18;0,00;0,00;0,00
LU-137367021345;0,00;0,00;-2,98;37,49;40,47;-2,98
LU-137367021346;377,04;386,70;-9,66;0,00;0,00;0,00
LU-137377021347;0,00;0,00;-2,98;37,49;40,47;-2,98
LU-137377021348;0,00;0,00;-2,98;37,49;40,47;-2,98
LU-137387021349;97,89;99,89;-2,00;0,00;0,00;0,00
LU-137387021351;0,00;0,00;-3,32;174,59;177,91;-3,32
LU-137397021358;689,39;707,07;-17,68;0,00;0,00;0,00
LU-137397021362;129,78;133,30;-3,52;0,00;0,00;0,00
LU-137417021366;1329,49;1363,58;-34,09;0,00;0,00;0,00
LU-137417021368;0,00;0,00;-16,92;69,07;85,99;-16,92
LU-137417021369;0,00;0,00;-3,10;47,67;50,77;-3,10
LU-137447021385;186,91;191,70;-4,79;0,00;0,00;0,00
LU-137467021396;445,93;457,55;-11,62;0,00;0,00;0,00
LU-137517021424;61,31;62,91;-1,60;0,00;0,00;0,00
LU-137517021428;106,23;109,00;-2,77;0,00;0,00;0,00
